,x,y,z,average2,average3,average4,average5,average6,complete2,complete3,complete4,complete5,complete6,single2,single3,single4,single5,single6,ward2,ward3,ward4,ward5,ward6
Y1_224,-13.280509827853,1.3828390840256497,12.516411087346931,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_344,-18.476269683624977,-4.745477574672932,3.2888745721185715,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_340,-17.38511523009099,-8.653577686352058,1.1011033572919169,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_208,-16.586405040942658,-9.948081727339641,2.705018375016921,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_220,-17.992628198624278,-6.298539637027973,5.0881602467437,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_221,-17.39851316465761,-7.96109040080269,3.2251797468511523,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_209,-18.80846146369196,-4.540200741322266,2.6244314678462475,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_341,-18.804439884244115,-1.0079209146669925,6.5223984554587835,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_343,-17.50397376478003,-7.269635876728669,4.1604664211385485,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_223,-18.438654591823415,-1.5300671715569354,6.833070845563185,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_222,-18.300780525546497,-5.226669472998512,3.3593112007770554,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_342,-19.3469277159819,-2.6750841733437345,2.841670116144019,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_325,-18.506317577507108,-4.607498636484152,3.2735490454441174,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
