,x,y,z,average2,average3,average4,average5,average6,average7,average8,average9,average10,complete2,complete3,complete4,complete5,complete6,complete7,complete8,complete9,complete10,single2,single3,single4,single5,single6,single7,single8,single9,single10,ward2,ward3,ward4,ward5,ward6,ward7,ward8,ward9,ward10
X1_55,29.75235080455228,19.666237282862763,170.86047898821246,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
X1_82,28.767048904761083,-319.4987833365599,92.92169735288476,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,3,3
X1_96,261.6839600734739,-94.07531614346703,-98.89220848500108,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,5
X1_97,4.608722085766274,-244.02760644436998,46.668928839968345,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,4
X1_83,194.7573000213846,-92.19940052095896,-111.9810789489009,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,5
X1_54,128.21091804198548,-118.73356277727716,-62.23158227440185,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
X1_40,-198.56279152417002,202.37984974686964,61.74729519517391,0,2,0,2,0,0,3,8,8,0,0,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,3,8,8
X1_68,13.986416978200843,174.46822801962716,151.28289461051563,0,2,0,1,1,1,1,0,2,0,0,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
X1_120,127.87395222668337,187.18384122283496,202.79543664870292,0,2,0,2,0,0,3,8,8,0,0,0,1,0,2,2,0,6,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,3,8,8
X1_134,-71.05578461577154,-20.792775135470258,-10.867806533219447,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
X1_108,59.688368114131244,-349.8924169536477,-80.30078973205629,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,3,3
X1_122,133.50989299855098,-62.98284768157896,63.21726208653522,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
